Transaction_Count,Average_Amount,Recency,Amount_Sum,is_high_risk
4,65.60202540788865,43,280.4271514163578,0
89,463.09987295649574,44,755.8753821231027,0
60,439.8962831566807,285,166.9926276522867,1
14,136.39139758042626,12,469.25939572706534,1
9,333.39218255674774,95,3489.400546127669,1
90,410.43887809859575,302,2718.296747644369,1
53,282.04839768373654,253,3774.562672402862,0
2,269.52878339444317,242,4574.51218606245,0
84,128.50762254122134,35,2967.2327083948126,1
92,55.620356224890614,215,3657.9921359520554,1
60,449.6357213971301,337,3809.697890008034,1
71,451.2048480100319,90,1951.4676914513534,0
44,320.2197140639013,264,1281.315678415196,1
8,176.12459761386333,93,1104.7221096819721,1
47,181.11269156020384,90,1332.0679536078123,1
35,365.71828264641726,115,1446.185805426953,0
78,449.5840273767628,105,1115.4154801394766,0
81,444.6723478899075,196,4403.281270648042,0
36,392.1390174702357,314,3809.2957476439205,0
50,324.595506615601,114,329.7926921769776,0
4,51.228582847573925,75,1416.495161924006,0
2,89.19806990636074,217,208.705235948478,0
6,450.2915523782688,277,2541.0094145648754,0
54,307.15023923319904,249,2433.4324142661694,1
4,14.506555292148526,164,4173.720301306255,1
54,59.72105600435573,357,1608.1084748781423,0
93,335.11586686294737,192,4100.290102544006,0
63,12.480176084647157,227,4843.071450655133,1
18,88.79594519457434,177,533.2002944916683,0
90,278.8795567896272,99,3979.907413401201,0
44,349.0286468694197,36,2990.7838959744167,0
34,329.46101715627424,96,2452.225238390528,1
74,119.89196163567429,152,2160.625315458868,1
62,358.96781846029256,151,3944.874493327117,1
14,126.25205287343204,190,3232.8706491737876,1
95,169.44585209804117,224,4044.718870844873,1
48,375.78078850783186,37,4525.440187515469,0
15,328.3201205331352,268,3124.592189276731,1
72,426.1194711421472,183,4904.267352952652,0
78,332.23031722716826,13,3079.6304627552377,0
87,288.4712156343811,279,3219.5571759491845,1
62,55.90063623576531,217,2818.596481856906,1
40,190.18074349912243,355,545.9102461515183,0
85,139.94916016404548,361,3659.3454599861184,0
80,129.55492525575096,286,2782.4869038056468,0
82,486.7751718286983,273,2309.4611923389116,1
53,202.6178850867126,62,4561.309264176038,1
24,447.1028120367855,84,1560.0013125555572,1
26,319.2579267386588,217,2665.6511524735547,1
89,399.45753873540775,342,3518.44517031797,1
60,256.2921756215442,187,4002.7117008019986,0
41,292.68290346691595,19,2350.799358936245,1
29,251.33366997124332,177,4226.247933591677,0
15,105.6690640210418,100,3867.6969324454476,0
45,364.0015364781376,233,424.5562914741427,0
65,147.57845759601935,76,324.72020538270147,1
89,21.914823551412383,265,3141.9478536682473,1
71,326.28142499451224,284,1802.3257003045296,1
9,96.78423290945398,206,1124.7408762847194,0
88,470.82470633292803,223,2940.2846789115183,0
1,477.4250027312678,52,1773.6597312370707,0
8,458.2835512080198,339,2732.590741898943,0
88,191.37776312516775,144,2354.583879019503,0
63,17.57374209914504,69,2965.353919150853,0
11,464.87609566798545,99,2061.4723956603784,1
81,219.81023267548403,25,3518.571111114966,1
8,483.6608613313981,53,982.3296345115629,1
35,482.1737887737339,151,3512.857184512687,1
35,427.97463317900645,144,2117.139950351888,0
33,154.279957114097,57,4384.156263786644,0
5,198.69788701494338,39,2624.6566688346334,1
41,427.05696904325987,109,4868.240711423511,0
28,165.29178252657604,181,3049.483438150705,1
7,93.05144587618531,42,1196.860422940971,1
73,282.8326186045916,186,4126.774120537801,1
72,468.7158393387827,223,1790.904876329695,0
12,351.05460037073675,122,1803.3341509651493,1
34,289.3299733437888,133,255.84293927730914,1
33,57.61648194767658,163,2788.705015116302,1
48,311.35354108259315,215,2718.675168289363,0
23,495.126386551089,221,1844.358272932732,0
62,78.64116746589677,235,4481.664588190036,1
88,263.981529658231,331,730.8671516682551,0
37,439.9128052446982,146,1717.4876152197614,0
99,372.97662269956015,239,1675.7555469321421,0
44,351.5377130876813,76,552.2238725208558,0
86,354.21720115368356,9,2457.6124308758367,0
91,186.15066409768002,74,3470.145113770807,0
35,153.86000368960174,253,2607.11936638158,0
65,406.5869661844717,230,869.1906453093493,0
99,406.9555633927986,7,1948.7012296861556,0
47,434.8654361042508,174,112.71561947986814,0
78,457.4878707526709,141,4354.675424474375,1
3,260.5577754418595,168,514.1333376353415,1
1,255.74298439672782,170,3026.6626030516095,0
5,401.16463769371984,283,4932.659279747394,1
90,328.48232608110493,122,2729.2941653379294,1
14,353.96376985627467,194,4627.804619626422,0
27,399.93840802368953,5,1256.9710122752813,0
9,446.1026174906075,29,3823.7815037941696,0
79,175.61762685725253,165,2703.202194470317,1
15,194.03564679357257,339,3630.5287008181776,1
90,56.05115052202581,136,405.4726763050831,0
42,293.35726908812524,321,823.9215503405107,0
77,27.611714160403622,342,752.2729500786435,0
51,238.14302888490548,145,3467.1109764763223,1
63,275.8958710067125,327,4237.759295904781,1
96,150.40521354285937,217,3773.119536842078,1
52,299.50829767881527,301,249.3135483946114,1
96,24.94512247013422,132,4349.353407266144,0
4,28.300612487115064,292,1835.3186868863147,0
94,413.0742747232325,70,2046.1027792700042,0
23,186.4934142915188,252,613.8589160091565,0
15,72.25965119942354,275,3713.285509859714,1
43,265.89919742685413,364,993.1910045321945,1
29,387.2968410183193,182,2863.4289508922984,0
36,115.75230347345315,167,4219.478930801863,0
13,315.21633315131015,91,537.1012106890753,1
32,51.82025784694632,202,2723.1442636760653,0
71,35.32404337261777,346,1242.7604165940259,1
59,270.3637694683925,19,1780.3416349634751,0
86,274.9112095889522,39,2422.4527130097254,0
28,322.3406517341212,126,1840.0110860685934,0
66,365.78475352410413,173,3279.231917428722,0
42,488.16751893664195,141,2449.952298595826,0
45,262.9871706675857,242,2962.5774750994296,0
62,168.24867174121053,220,3710.430129435073,0
57,399.6412354366648,126,2832.937103157143,1
6,142.70780311841636,58,2974.0236298377195,1
28,225.0959961457617,148,2865.8468583609424,1
28,48.44362685771032,317,1955.9858671613179,1
44,22.42186427357418,361,1753.4894859723986,1
84,481.6977231921833,1,4508.272246010561,0
30,419.63025905098084,348,3077.020589238507,0
62,351.027360985912,190,1297.3304617768072,1
75,210.38694276299225,191,2541.413719459807,0
92,94.91421683471442,312,1718.7075582764785,1
89,86.65415090883216,117,4675.089936423386,1
62,132.6190201006517,134,136.91837935696623,0
97,279.12106570599906,58,1204.1307087913883,0
1,360.15200212303057,44,1890.2484164028824,0
27,333.4967145916883,173,2490.2680239628157,1
62,147.16760950351198,160,4269.005837397117,0
77,477.8839875249651,173,530.649360246705,1
3,371.56948918092655,317,4048.737945031603,1
70,281.63348573058636,303,372.70209784917915,1
72,309.7431656548326,149,4227.3387729610895,0
27,215.60403058961705,80,353.0138415851129,0
9,131.38818485556715,213,189.38815899896912,1
62,184.42661253911817,203,3515.1111655954655,0
